typeProperty,typeOfForm,rooms,size_x100,bisize_x100,balkong,tomtarea_x10000,buildArea,uteplats,floor,type,distance_from_city_center,price_evolution_numbers_per_million,asking_price_per_million,cost_per_year_x1000,price_per_m2_x10000,elevator
3,5,5.0,1.31,0.0,1,0.0172,2.014,1,0.0,0,10.419008414563764,0.175,7.495,36.164,5.721374045801526,0.0
8,5,8.0,1.7,0.46,1,0.09,2.011,1,0.0,2,71.04331320973397,0.305,11.495,64.065,5.32175925925926,0.0
9,5,4.0,0.9,0.0,1,0.0514,2.007,0,0.0,1,2.901898764133497,0.15,1.6,23.75,1.7777777777777777,0.0
6,5,6.0,1.21,0.0,1,0.0357,1.985,0,0.0,0,16.448775396585635,0.35,5.75,40.719,4.752066115702479,0.0
8,5,7.0,1.6,0.15,1,0.133,1.981,0,0.0,2,28.140200511101806,0.4,10.95,40.167,6.257142857142857,0.0
8,5,6.0,1.38,1.32,1,0.1067,1.974,0,0.0,2,61.216626144008494,-0.395,6.295,38.92,2.331481481481481,0.0
8,5,4.0,1.64,0.08,1,0.241,1.901,0,0.0,2,86.89101110970901,0.55,3.85,62.785,2.238372093023256,0.0
9,5,3.0,0.5,0.0,1,0.3113,1.974,0,0.0,2,74.38579935159474,0.05,4.25,29.95,8.5,0.0
4,2,4.0,0.9,0.0,1,0.0,1.953,0,0.6666666666666666,3,103.30391999249989,0.1,3.6,0.66,4.0,0.0
9,5,0.0,0.5,0.0,1,0.43,1.947,0,0.0,1,5.743980948738192,0.405,3.495,17.374,6.99,0.0
8,5,4.0,0.86,0.71,1,0.0683,1.939,0,0.0,2,45.29745708313733,-0.995,11.995,20.745,7.640127388535032,0.0
1,5,4.0,0.71,0.28,1,0.1802,1.975,0,0.0,1,11.033249551434611,-0.245,1.995,26.94,2.015151515151515,0.0
4,2,2.0,0.52,0.0,0,0.0,1.94,0,0.3333333333333333,3,23.49618078106516,0.055,3.595,0.0,6.913461538461539,1.0
1,5,2.0,0.54,0.0,1,0.2641,1.966,0,0.0,1,7.898236786918893,-0.05,2.35,14.652,4.351851851851852,0.0
1,5,3.0,0.66,0.0,1,0.225,1.994,0,0.0,1,8.869180501160562,0.65,3.9,20.05,5.909090909090909,0.0
8,2,4.0,1.07,0.0,1,0.0,2.021,1,0.0,2,49.93077609646481,-0.06,4.095,24.0,3.827102803738317,0.0
4,2,2.0,0.551,0.0,1,0.0,1.964,0,0.75,3,10.078712475518484,-0.085,1.795,3.6,3.2577132486388387,1.0
4,2,3.0,0.77,0.0,0,0.0,1.901,0,0.4,3,38.78407354402492,0.105,8.495,12.0,11.032467532467532,1.0
1,5,2.0,0.43,0.12,1,0.1645,1.955,0,0.0,1,59.01077934434044,-0.295,3.995,36.927,7.263636363636364,0.0
9,5,3.0,0.5,0.08,1,0.2268,1.993,0,0.0,1,2.824587541487726,-0.015,1.995,14.8,3.4396551724137927,0.0
4,2,1.0,0.18,0.0,0,0.0,1.957,0,0.0,3,27.158361361865108,-0.015,1.495,0.0,8.305555555555555,0.0
4,2,1.0,0.23,0.0,1,0.0,1.934,0,6.0,3,24.387985236828097,-0.045,2.795,2.1,12.152173913043478,1.0
