price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
36 742 kr/m²,4 875 000 kr,-25 000 kr (-1 %),Par-/kedje-/radhus,Bostadsrätt,5 rum,132 m²,N/A,N/A,N/A,2014,19 068 kr/år,Ja,N/A,"Par-/kedje-/radhus - Barkarbystaden, Järfälla kommun - Såld 06 december 2023",Stockholm,4 850 000 kr
42 896 kr/m²,3 995 000 kr,-70 000 kr (-2 %),Radhus,Bostadsrätt,3 rum,"91,5 m²",N/A,N/A,N/A,1985,13 680 kr/år,Ja,N/A,"Radhus - Ekerö Ekudden, Ekerö kommun - Såld 06 december 2023",Stockholm,3 925 000 kr
32 524 kr/m²,3 495 000 kr,-145 000 kr (-4 %),Radhus,Bostadsrätt,5 rum,103 m²,N/A,N/A,N/A,1964,N/A,Ja,N/A,"Radhus - Barkarby, Järfälla kommun - Såld 05 december 2023",Stockholm,3 350 000 kr
N/A,5 695 000 kr,-245 000 kr (-4 %),Kedjehus,Äganderätt,6 rum,121 m²,20 m²,N/A,472 m²,1975,28 512 kr/år,N/A,N/A,"Kedjehus - Täby Kyrkby, Täby kommun - Såld 05 december 2023",Stockholm,5 450 000 kr
N/A,3 995 000 kr,-445 000 kr (-11 %),Radhus,Äganderätt,4 rum,105 m²,N/A,N/A,135 m²,1974,35 763 kr/år,N/A,N/A,"Radhus - Vällingby - Vinsta, Stockholms kommun - Såld 05 december 2023",Stockholm,3 550 000 kr
N/A,4 795 000 kr,-495 000 kr (-10 %),Radhus,Äganderätt,5 rum,117 m²,N/A,N/A,235 m²,1976,22 547 kr/år,N/A,N/A,"Radhus - Viksjö, Järfälla kommun - Såld 04 december 2023",Stockholm,4 300 000 kr
38 525 kr/m²,2 600 000 kr,-250 000 kr (-10 %),Radhus,Bostadsrätt,"2,5 rum",61 m²,N/A,N/A,N/A,1989,16 152 kr/år,N/A,N/A,"Radhus - Fornudden, Tyresö kommun - Såld 04 december 2023",Stockholm,2 350 000 kr
N/A,4 495 000 kr,-665 000 kr (-15 %),Kedjehus,Äganderätt,6 rum,136 m²,N/A,N/A,610 m²,1968,30 000 kr/år,N/A,N/A,"Kedjehus - Rönninge, Salems kommun - Såld 04 december 2023",Stockholm,3 830 000 kr
N/A,3 495 000 kr,-70 000 kr (-2 %),Radhus,Äganderätt,5 rum,112 m²,12 m²,N/A,172 m²,1974,46 500 kr/år,N/A,N/A,"Radhus - Centrala Väsby, Upplands Väsby kommun - Såld 04 december 2023",Stockholm,3 425 000 kr
33 531 kr/m²,4 995 000 kr,-200 000 kr (-4 %),Parhus,Bostadsrätt,6 rum,143 m²,N/A,N/A,N/A,2021,22 068 kr/år,Ja,N/A,"Parhus - Wijk Oppgård, Upplands Väsby kommun - Såld 04 december 2023",Stockholm,4 795 000 kr
