price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
N/A,12 500 000 kr,-1 700 000 kr (-14 %),Villa,Äganderätt,5 rum,127 m²,55 m²,N/A,1 780 m²,1973,48 390 kr/år,N/A,N/A,"Villa - Ekerö Älvnäs, Ekerö kommun - Såld 11 december 2023",Stockholm,10 800 000 kr
N/A,6 995 000 kr,-395 000 kr (-6 %),Villa,Äganderätt,8 rum,158 m²,32 m²,N/A,799 m²,1999,44 632 kr/år,N/A,N/A,"Villa - Hässelby Södra Villastad, Stockholms kommun - Såld 11 december 2023",Stockholm,6 600 000 kr
N/A,3 450 000 kr,-100 000 kr (-3 %),Villa,Äganderätt,5 rum,127 m²,N/A,N/A,3 052 m²,2019,29 556 kr/år,N/A,N/A,"Villa - Hölö, Södertälje kommun - Såld 10 december 2023",Stockholm,3 350 000 kr
N/A,8 495 000 kr,-370 000 kr (-4 %),Villa,Äganderätt,7 rum,145 m²,70 m²,N/A,874 m²,1948,10 924 kr/år,N/A,N/A,"Villa - Skarpäng, Täby kommun - Såld 10 december 2023",Stockholm,8 125 000 kr
N/A,4 495 000 kr,-195 000 kr (-4 %),Villa,Äganderätt,3 rum,60 m²,3 m²,Ja,2 487 m²,1976,30 204 kr/år,Ja,N/A,"Villa - Tyresö, Tyresö kommun - Såld 10 december 2023",Stockholm,4 300 000 kr
N/A,8 695 000 kr,-1 045 000 kr (-12 %),Villa,Äganderätt,7 rum,165 m²,N/A,N/A,1 102 m²,1991,63 016 kr/år,N/A,N/A,"Villa - Resarö, Vaxholms kommun - Såld 09 december 2023",Stockholm,7 650 000 kr
N/A,6 195 000 kr,-195 000 kr (-3 %),Villa,Äganderätt,5 rum,131 m²,42 m²,N/A,1 615 m²,1935,63 153 kr/år,N/A,N/A,"Villa - Trollbäcken, Tyresö kommun - Såld 08 december 2023",Stockholm,6 000 000 kr
N/A,5 495 000 kr,-95 000 kr (-2 %),Villa,Äganderätt,4 rum,92 m²,33 m²,N/A,1 292 m²,1960,53 381 kr/år,N/A,N/A,"Villa - Trollbäcken, Tyresö kommun - Såld 08 december 2023",Stockholm,5 400 000 kr
N/A,8 495 000 kr,-295 000 kr (-3 %),Villa,Äganderätt,5 rum,150 m²,N/A,N/A,599 m²,2010,41 328 kr/år,N/A,N/A,"Villa - Uthamra, Vallentuna kommun - Såld 08 december 2023",Stockholm,8 200 000 kr
N/A,9 995 000 kr,-245 000 kr (-2 %),Villa,Äganderätt,6 rum,130 m²,81 m²,N/A,1 368 m²,1970,54 009 kr/år,N/A,N/A,"Villa - Lundhagen, Ekerö kommun - Såld 08 december 2023",Stockholm,9 750 000 kr
N/A,3 795 000 kr,-495 000 kr (-13 %),Villa,Äganderätt,7 rum,161 m²,N/A,Ja,3 092 m²,1975,27 357 kr/år,Ja,N/A,"Villa - Bro - Håbo-tibble, Upplands-Bro kommun - Såld 08 december 2023",Stockholm,3 300 000 kr
N/A,4 995 000 kr,-145 000 kr (-3 %),Villa,Äganderätt,7 rum,138 m²,85 m²,N/A,502 m²,1973,35 450 kr/år,N/A,N/A,"Villa - Margretelund, Österåkers kommun - Såld 08 december 2023",Stockholm,4 850 000 kr
N/A,3 495 000 kr,-295 000 kr (-8 %),Vinterbonat fritidshus,Äganderätt,4 rum,85 m²,N/A,N/A,2 184 m²,2023,N/A,Ja,N/A,"Vinterbonat fritidshus - Rådmansö - Västanvik, Norrtälje kommun - Såld 08 december 2023",Stockholm,3 200 000 kr
N/A,4 750 000 kr,-100 000 kr (-2 %),Villa,Äganderätt,3 rum,58 m²,30 m²,N/A,2 911 m²,1982,50 949 kr/år,N/A,N/A,"Villa - Ingarö - Skälsmara, Värmdö kommun - Såld 08 december 2023",Stockholm,4 650 000 kr
N/A,4 150 000 kr,-250 000 kr (-6 %),Villa,Äganderätt,5 rum,155 m²,N/A,N/A,3 121 m²,1989,N/A,N/A,N/A,"Villa - Sätuna, Norrtälje kommun - Såld 08 december 2023",Stockholm,3 900 000 kr
N/A,19 500 000 kr,-2 000 000 kr (-10 %),Villa,Äganderätt,6 rum,164 m²,91 m²,N/A,606 m²,2001,60 000 kr/år,N/A,N/A,"Villa - Gåshaga Strand, Lidingö kommun - Såld 08 december 2023",Stockholm,17 500 000 kr
N/A,9 950 000 kr,-350 000 kr (-4 %),Villa,Äganderätt,5 rum,137 m²,N/A,N/A,2 111 m²,1955,86 024 kr/år,N/A,N/A,"Villa - Saltsjöbaden - Älgö, Nacka kommun - Såld 07 december 2023",Stockholm,9 600 000 kr
