price_per_m2,asking_price,price_evolution,typeProperty,typeOfForm,rooms,size,bisize,balkong,tomtarea,buildArea,cost,uteplats,floor,area,sold_price
81 176 kr/m²,5 995 000 kr,-475 000 kr (-8 %),Lägenhet,Bostadsrätt,2 rum,68 m²,N/A,N/A,N/A,N/A,6 300 kr/år,Ja,N/A,"Lägenhet - Nacka - Finnboda, Nacka kommun - Såld 29 december 2023",Stockholm,5 520 000 kr
15 900 kr/m²,875 000 kr,-80 000 kr (-9 %),Lägenhet,Bostadsrätt,2 rum,50 m²,N/A,Ja,N/A,1942,4 872 kr/år,N/A,"2 av 3, hiss finns ej","Lägenhet - Kullsta, Nynäshamns kommun - Såld 29 december 2023",Stockholm,795 000 kr
92 683 kr/m²,3 895 000 kr,-95 000 kr (-2 %),Lägenhet,Bostadsrätt,2 rum,41 m²,N/A,Nej,N/A,1901,N/A,N/A,"2, hiss finns ej","Lägenhet - Maria, Stockholms kommun - Såld 29 december 2023",Stockholm,3 800 000 kr
49 419 kr/m²,2 150 000 kr,-25 000 kr (-1 %),Lägenhet,Bostadsrätt,2 rum,43 m²,N/A,Ja,N/A,2018,4 200 kr/år,N/A,"2 av 4, hiss finns","Lägenhet - Barkarbystaden, Järfälla kommun - Såld 28 december 2023",Stockholm,2 125 000 kr
35 785 kr/m²,2 295 000 kr,-130 000 kr (-6 %),Lägenhet,Bostadsrätt,2 rum,"60,5 m²",N/A,Ja,N/A,2016,7 097 kr/år,N/A,"5, hiss finns","Lägenhet - Handen, Haninge kommun - Såld 28 december 2023",Stockholm,2 165 000 kr
34 766 kr/m²,1 895 000 kr,-35 000 kr (-2 %),Lägenhet,Bostadsrätt,2 rum,"53,5 m²",N/A,Ja,N/A,2008,N/A,N/A,"2 av 2, hiss finns ej","Lägenhet - Viksjö, Järfälla kommun - Såld 28 december 2023",Stockholm,1 860 000 kr
44 079 kr/m²,1 750 000 kr,-75 000 kr (-4 %),Lägenhet,Bostadsrätt,2 rum,38 m²,N/A,N/A,N/A,1958,3 900 kr/år,N/A,4,"Lägenhet - Hagsätra, Stockholms kommun - Såld 28 december 2023",Stockholm,1 675 000 kr
60 360 kr/m²,7 295 000 kr,-595 000 kr (-8 %),Lägenhet,Bostadsrätt,4 rum,111 m²,N/A,Ja,N/A,2018,2 040 kr/år,N/A,"3 av 15, hiss finns","Lägenhet - Liljeholmskajen, Stockholms kommun - Såld 28 december 2023",Stockholm,6 700 000 kr
26 951 kr/m²,2 275 000 kr,-65 000 kr (-3 %),Lägenhet,Bostadsrätt,"3,5 rum",82 m²,N/A,Ja,N/A,N/A,7 080 kr/år,N/A,"3 av 3, hiss finns ej","Lägenhet - Runby, Upplands Väsby kommun - Såld 28 december 2023",Stockholm,2 210 000 kr
31 525 kr/m²,1 950 000 kr,-90 000 kr (-5 %),Lägenhet,Bostadsrätt,2 rum,59 m²,N/A,Nej,N/A,1986,9 000 kr/år,Ja,N/A,"Lägenhet - Skarpnäck, Stockholms kommun - Såld 28 december 2023",Stockholm,1 860 000 kr
